Challenge,Treatment,Sample,Alpha S-2p_IgA,Alpha S-2p_IgG1,Alpha S-2p_IgG2,Alpha S-2p_IgM,Alpha Spike_IgA,Alpha Spike_IgG1,Alpha Spike_IgG2,Alpha Spike_IgM,Beta S-2P_IgA,Beta S-2P_IgG1,Beta S-2P_IgG2,Beta S-2P_IgM,D614G Spike_IgA,D614G Spike_IgG1,D614G Spike_IgG2,D614G Spike_IgM,Delta Spike_IgA,Delta Spike_IgG1,Delta Spike_IgG2,Delta Spike_IgM,Gamma Spike_IgA,Gamma Spike_IgG1,Gamma Spike_IgG2,Gamma Spike_IgM,S2_IgA,S2_IgG1,S2_IgG2,S2_IgM,Beta Spike_IgA,Beta Spike_IgG1,Beta Spike_IgG2,Beta Spike_IgM,Alpha S-2p_FcγRIII,Alpha S-2p_FcγRIIb,Alpha S-2p_FcγRIV,Alpha Spike_FcγRIII,Alpha Spike_FcγRIIb,Alpha Spike_FcγRIV,Beta S-2P_FcγRIII,Beta S-2P_FcγRIIb,Beta S-2P_FcγRIV,D614G Spike_FcγRIII,D614G Spike_FcγRIIb,D614G Spike_FcγRIV,Delta Spike_FcγRIII,Delta Spike_FcγRIIb,Delta Spike_FcγRIV,Gamma Spike_FcγRIII,Gamma Spike_FcγRIIb,Gamma Spike_FcγRIV,S2_FcγRIII,S2_FcγRIIb,S2_FcγRIV,Beta Spike_FcγRIII,Beta Spike_FcγRIIb,Beta Spike_FcγRIV,ADCD,mADCP,hADCP,hADNP
None,Control VLP,H45,2599.75,2890.5,3013.5,13152.5,2614.0,2585.75,2500.5,9750.25,56965.75,7738.5,561206.25,13978.75,3238.0,3166.5,3902.5,191236.75,4357.25,4005.5,4800.5,134589.5,2755.5,2420.25,2868.75,166065.5,3354.5,2420.25,2579.0,112837.25,2706.0,2396.75,4223.0,134483.0,5617.5,9369.25,10602.5,613116.5,983792.5,710800.0,125978.75,76509.0,438398.75,3730.5,3756.5,4284.75,4710.75,4915.5,5890.0,2974.5,3233.0,3624.0,6867.25,10282.5,9768.5,3131.0,3363.25,4035.5,103628.75,11000.64576,7966.231065,3341.063756
None,Control VLP,H45L,2980.0,2926.0,2775.25,20196.5,2531.5,2811.75,2626.0,12019.75,56882.75,8927.25,279836.5,36810.75,3233.5,3443.25,3832.25,127128.0,4033.75,3888.0,4285.25,72588.75,2742.0,2828.0,2771.0,98106.0,2802.0,2399.0,2776.0,85407.25,2786.25,2822.5,3479.5,84070.75,5308.0,13633.0,8150.0,619594.0,1288096.5,683735.5,108992.5,112321.0,384973.75,3311.25,7984.5,4243.5,4759.0,7158.75,5262.5,2839.0,6382.75,3573.25,5603.5,26055.75,10309.25,2939.0,5747.75,3905.0,100771.5,11904.05889,12037.05251,3116.21947
None,Control VLP,H46,2472.75,2849.0,2788.75,13125.0,2596.0,2668.5,2580.0,5987.5,56404.0,7627.5,445538.5,10922.5,3425.5,3168.25,3720.75,234135.0,4236.0,4234.0,4626.5,122704.0,2807.0,2510.25,2793.0,118983.5,3133.5,2872.5,5631.75,91072.0,2999.25,2271.75,4225.5,129008.0,4941.75,7841.5,8103.5,605791.0,932301.5,688578.5,117899.25,51474.75,395498.75,3745.25,3533.0,4237.5,5001.0,4788.5,5530.25,3049.25,3613.0,3471.75,8318.5,13391.0,19024.5,3054.25,2966.75,3722.75,48748.0,12085.01398,8597.894482,2553.770077
None,Control VLP,H46L,3097.75,2878.5,2657.5,10728.5,2524.75,2558.5,2523.0,6329.5,56554.75,6614.5,922947.25,9570.5,4261.0,4308.5,3899.0,155277.75,4617.5,4773.75,4788.5,96314.0,3697.0,3784.5,3193.0,105501.5,2760.75,2781.0,3022.75,78592.0,3613.0,3059.0,9838.75,105658.0,6365.0,6663.5,8797.5,616942.25,867497.0,663517.75,112616.25,55183.75,386799.0,8293.0,4065.25,4589.75,8388.75,5290.5,5533.5,8887.25,3147.0,3542.5,5484.5,10487.0,9826.5,7000.5,3125.5,3812.0,83361.25,9096.124824,9279.12211,3193.377047
None,Control VLP,H47,2827.0,2928.75,2607.0,19816.25,2504.0,2436.5,2477.75,15047.5,57080.0,7504.0,491389.5,51839.25,3243.0,3032.5,3406.0,164150.0,4258.0,3871.25,4646.5,109145.0,2672.5,2493.25,2747.5,144018.25,2885.25,2317.75,2365.25,74197.25,2732.25,2443.5,3868.75,124136.0,5465.5,5389.5,6749.5,598659.75,920119.0,681399.5,109291.25,56115.5,394217.0,3646.5,3443.75,4061.5,4589.5,4610.25,5452.0,2941.0,2791.25,3285.0,5307.0,7302.25,9410.25,3057.0,2891.5,3519.75,124853.5,10239.60559,10390.07679,3058.246006
None,Control VLP,H47L,2754.0,2547.75,2690.25,14825.5,2905.0,2568.0,2566.0,7290.0,55699.0,7896.25,1213469.0,14027.5,8634.25,3046.5,3700.75,127671.25,9246.0,3911.5,4228.75,76243.75,7530.0,2415.75,2920.0,120667.0,4104.25,2396.0,2999.75,89485.25,9002.5,2518.5,4253.5,90784.75,6008.25,7872.0,7425.5,615002.0,931946.75,690493.0,114917.75,63739.25,382163.5,3602.5,4309.0,4197.5,4803.0,4825.0,5515.0,2809.25,3401.0,3479.0,4709.25,10113.75,11898.0,2881.5,3132.0,3430.75,80739.25,10615.50351,10144.24472,3028.89321
Delta challenge,S2 VLP,H48,3109.75,35811.75,1392652.25,60461.0,2658.0,14968.5,1140051.0,55261.0,40232.0,138435.5,3002552.75,83817.0,4691.25,125765.5,2433363.5,276083.75,5389.5,114519.25,2260260.25,266646.25,3951.75,131607.0,2384942.0,281072.0,4310.5,233576.5,2590487.0,308204.0,4072.5,115264.25,2413744.25,304342.5,1773681.5,1990045.25,1212317.75,1793858.0,2177472.25,1518916.0,2451893.25,2629044.0,1851134.5,2824745.75,3178274.25,2336821.75,2717924.0,3118937.5,2309996.0,2844352.5,3095400.5,2302414.0,3019393.0,3507529.25,2389621.5,2864051.5,3286386.5,2398920.25,458666.0,18262.18462,42856.93925,11776.62303
Delta challenge,S2 VLP,H48L,3374.75,83646.5,1630087.5,147252.75,2858.5,49359.75,1268946.5,148867.0,35806.5,197119.25,2735790.0,223350.75,4947.0,188370.25,2580937.25,529961.0,5707.75,166285.5,2677715.0,539760.0,4142.25,186271.5,2586064.0,534990.0,5539.0,238602.25,2941819.75,630141.25,4164.0,155465.0,2662697.75,591717.5,1986407.25,2279066.0,1545205.75,2086669.75,2430692.0,1774941.5,2798883.75,3040764.0,2235437.25,2836103.25,3170642.75,2597501.0,2823820.5,3160426.5,2559048.75,2884224.0,3178178.25,2602917.0,3326485.25,3645059.5,2899809.75,2988065.0,3219413.0,2660708.5,439209.5,16953.70905,47630.92421,23029.23489
Beta challenge,S2 VLP,H49,3518.75,174169.75,1159232.0,135366.5,3078.25,148024.5,1167592.0,168499.0,42851.5,426769.5,2315003.0,216964.5,10793.5,447036.75,1964870.0,393375.0,11653.75,439701.0,1924143.25,408966.75,10812.5,476567.5,2031800.0,401926.5,7193.0,427034.0,2678359.0,548779.0,11584.5,447083.0,2183146.5,462691.5,1937896.0,2156311.25,1548164.5,2103444.0,2486649.75,1831310.0,2708922.75,3095489.5,2173695.25,2929904.25,3220985.0,2559891.5,2841984.5,3133254.25,2524356.0,2922214.5,3361829.75,2502278.75,3395550.75,3810330.5,2941421.75,2959810.5,3390815.25,2596229.75,375678.0,18436.65459,46306.99142,12589.14782
Beta challenge,S2 VLP,H49L,3245.5,61646.25,1618690.75,152568.75,2946.0,36741.0,1139436.0,115234.0,43261.0,170620.75,2877954.75,239483.0,4466.0,65608.5,2219329.5,349426.0,5975.5,68370.75,2164824.0,330480.5,3706.5,64425.5,2360560.0,349118.75,4234.25,267671.0,2650625.25,476883.5,3949.25,57907.75,2369505.0,370373.25,2263623.25,2610597.0,1891821.5,2221749.75,2641730.25,1890909.25,3014343.5,3284410.5,2484455.25,3080276.0,3398748.25,2826154.25,3042538.5,3369226.25,2760350.0,3089443.25,3442638.75,2865185.25,3303915.0,3836312.5,2958500.5,3091995.0,3465704.0,2809223.25,387533.5,21123.70016,44217.7445,18453.69334
