Challenge,Immunization,Sample,S2_IgA,S2_IgG1,S2_IgG2,S2_IgM,D614G Spike_IgA,D614G Spike_IgG1,D614G Spike_IgG2,D614G Spike_IgM,Alpha Spike_IgA,Alpha Spike_IgG1,Alpha Spike_IgG2,Alpha Spike_IgM,Alpha S-2p_IgA,Alpha S-2p_IgG1,Alpha S-2p_IgG2,Alpha S-2p_IgM,Beta Spike_IgA,Beta Spike_IgG1,Beta Spike_IgG2,Beta Spike_IgM,Beta S-2P_IgA,Beta S-2P_IgG1,Beta S-2P_IgG2,Beta S-2P_IgM,Gamma Spike_IgA,Gamma Spike_IgG1,Gamma Spike_IgG2,Gamma Spike_IgM,Delta Spike_IgA,Delta Spike_IgG1,Delta Spike_IgG2,Delta Spike_IgM,S2_FcγRIII,S2_FcγRIIb,S2_FcγRIV,D614G Spike_FcγRIII,D614G Spike_FcγRIIb,D614G Spike_FcγRIV,Alpha Spike_FcγRIII,Alpha Spike_FcγRIIb,Alpha Spike_FcγRIV,Alpha S-2p_FcγRIII,Alpha S-2p_FcγRIIb,Alpha S-2p_FcγRIV,Beta Spike_FcγRIII,Beta Spike_FcγRIIb,Beta Spike_FcγRIV,Beta S-2P_FcγRIII,Beta S-2P_FcγRIIb,Beta S-2P_FcγRIV,Gamma Spike_FcγRIII,Gamma Spike_FcγRIIb,Gamma Spike_FcγRIV,Delta Spike_FcγRIII,Delta Spike_FcγRIIb,Delta Spike_FcγRIV,ADCD,mADCP,hADCP,hADNP,Lung (log10 pfu/g),NT (log10 pfu/g)
Delta,Control VLP,H45,1190.5,13.75,474,110324.75,136,305,676,188096.75,367.5,1,57,7154.25,1,99.5,409.5,10495.5,118,175.75,1022.5,131842.5,1,756.5,1,10991.75,261.5,129.25,247.75,163530,596.25,440.5,790.5,130732,1,2122.5,1,91.5,80.5,1,35357.5,80713.5,29368,959.5,3912.25,1179.5,1,521.25,1,63224.25,43755,89698.25,33.5,365.5,1,85.75,1,1,100570.75,5030.884246,58.969787,608.3086749,8.3,7.3
Delta,Control VLP,H45L,638,1,671,82894.75,131.5,581.75,605.75,123988,285,126.75,182.5,9423.75,328,135,171.25,17539.5,198.25,601.5,279,81430.25,1,1945.25,1,33823.75,248,537,150,95570.5,272.75,323,275.25,68731.25,1,17895.75,1,1,4308.5,1,41835,385017.5,2303.5,650,8176,1,1,2905.75,1,46238,79567,36273.25,1,3515.25,1,134,2155.75,1,97713.5,5934.297376,3969.513237,383.4643887,8.2,7.3
Beta,Control VLP,H46,969.5,466,3526.75,88559.5,323.5,306.75,494.25,230995,349.5,1,136.5,3391.5,1,58,184.75,10468,411.25,50.75,1025,126367.5,1,645.5,1,7935.5,313,219.25,172,116448,475,669,616.5,118846.5,632.5,5231,498.5,106.25,1,1,28032,29222.5,7146.5,283.75,2384.5,1,1,124.75,1,55144.75,18720.75,46798.25,108.25,745.5,1,376,1,1,45690,6115.252467,740.8792265,1,7.8,7
Beta,Control VLP,H46L,596.75,374.5,917.75,76079.5,1159,1447,672.5,152137.75,278.25,1,79.5,3733.5,445.75,87.5,53.5,8071.5,1025,838,6638.25,103017.5,1,1,275429.75,6583.5,1203,1493.5,572,102966,856.5,1208.75,778.5,92456.5,1,2327,1,4654,389.25,1,39183.25,1,1,1707,1206.5,1,3773,283.5,1,49861.75,22429.75,38098.5,5946.25,279.5,1,3763.75,287.5,1,80303.25,3126.363307,1427.916216,460.6219656,7.9,6.5
Beta,Control VLP,H47,721.25,1,260.25,71684.75,141,171,179.5,161010,257.5,1,34.25,12451.5,175,137.75,3,17159.25,144.25,222.5,668.25,121495.5,1,522,1,48852.25,178.5,202.25,126.5,141482.75,497,306.25,636.5,105287.5,1,1,1,7.5,1,1,20900.75,17040,1,807.5,1,1,1,49.5,1,46536.75,23361.5,45516.5,1,1,1,1,1,1,121795.5,4269.844073,2322.537512,325.4909244,7.9,6.6
Beta,Control VLP,H47L,1940.25,1,894.75,86972.75,5532.25,185,474.25,124531.25,658.5,1,122.5,4694,102,1,86.25,12168.5,6414.5,297.5,1053,88144.25,1,914.25,565951.5,11040.5,5036,124.75,299,118131.5,5485,346.5,218.75,72386.25,1,1953.75,1,1,633,1,37243,28867.75,9061,1350.25,2415,1,1,290,1,52163.25,30985.25,33463,1,533.5,1,178,1,1,77681.25,4645.741995,2076.705444,317.4685145,8.2,7
Delta,S2 VLP,H48,2146.5,231170,2588382,305691.5,1589.25,122904,2430137,272943.75,411.5,12283.5,1137607.5,52665,457.75,33020.75,1390048.25,57804,1484.5,113043.25,2410543.75,301702,1,131453.5,2355035.25,80830,1457.75,129316,2382321,278536.5,1628.5,110954.25,2256250.25,262788.75,3011707,3499369.25,2371095.5,2821106.75,3174598.25,2331164.75,1216099,1274393.25,837484,1769023.5,1984588.25,1202894.75,2860824,3283544.5,2393673.25,2389138.75,2596290,1502434,2841411.5,3092533,2298090,2713299,3113934.5,2300468,455608,12292.42311,34789.39997,9043.867951,7.5,6.5
Delta,S2 VLP,H48L,3375,236195.75,2939714.75,627628.75,1845,185508.75,2577710.75,526821,612,46674.75,1266503,146271,722.75,80855.5,1627483.5,144595.75,1576,153244,2659497.25,589077,1,190137.25,2088272.5,220363.75,1648.25,183980.5,2583443,532454.5,1946.75,162720.5,2673705,535902.5,3318799.25,3636899.5,2881283.75,2832464.25,3166966.75,2591844,1508910.75,1527613,1093509.5,1981749.25,2273609,1535782.75,2984837.5,3216571,2655461.5,2736129.25,3008010,1886736.75,2881283,3175310.75,2598593,2819195.5,3155423.5,2549520.75,436151.5,10983.94753,39563.38493,20296.4798,8.2,7.1
Beta,S2 VLP,H49,5029,424627.5,2676254,546266.5,7691.5,444175.25,1961643.5,390235,831.75,145339.5,1165148.5,165903,866.75,171378.75,1156628,132709.5,8996.5,444862,2179946,460051,1,419787.5,1667485.5,213977.5,8318.5,474276.5,2029179,399391,7892.75,436136,1920133.25,405109.25,3387864.75,3802170.5,2922895.75,2926265.25,3217309,2554234.5,1525685,1583570.75,1149878,1933238,2150854.25,1538741.5,2956583,3387973.25,2590982.75,2646168.25,3062735.5,1824994.75,2919273.5,3358962.25,2497954.75,2837359.5,3128251.25,2514828,372620,12466.89307,38239.45214,9856.392734,7.1,6
Beta,S2 VLP,H49L,2070.25,265264.5,2648520.25,474371,1364,62747,2216103,346286,699.5,34056,1136992.5,112638,593.5,58855.25,1616086.75,149911.75,1361.25,55686.75,2366304.5,367732.75,1,163638.75,2230437.25,236496,1212.5,62134.5,2357939,346583.25,2214.5,64805.75,2160814,326623,3296229,3828152.5,2939974.5,3076637,3395072.25,2820497.25,1643990.75,1738651.25,1209477.25,2258965.25,2605140,1882398.5,3088767.5,3462862,2803976.25,2951589,3251656.5,2135754.75,3086502.25,3439771.25,2860861.25,3037913.5,3364223.25,2750822,384475.5,15153.93864,36150.20522,15720.93826,6,5.3
